experiment_id,family,job_id,pairing_id,run_type,victim_run_id,victim_seed,attacker_id,source_class,source_class_name,target_index,target_true_class,target_true_class_name,target_adv_class,target_adv_class_name,predicted_class,predicted_class_name,success,adv_confidence,true_confidence,target_loss,clean_accuracy,brew_artifact_path,brew_job_id,brew_loss,source_target_distance,source_target_rank,condition,distance_bucket,symmetric,pair_distance_rank,pair_distance_rank_fraction,source_source_distance,overlap_policy,overlap_seed,overlap_total,overlaps_lost_by_attacker
c1_experiment,C1,solo_src5_sel2_to0,,solo,0,0,src5_sel2_to0,5,dog,5047,5,dog,0,airplane,0,airplane,1,0.9990511536598206,0.0007922957884147763,0.0009492897079326212,0.915991599159916,artifacts/c1/c1_experiment/brews/brew_src5_sel2_to0.pt,brew_src5_sel2_to0,0.17043930292129517,0.6689342260360718,8,,,,,,,,,0,0
c1_experiment,C1,solo_src5_sel2_to0,,solo,1,1,src5_sel2_to0,5,dog,5047,5,dog,0,airplane,0,airplane,1,0.994438648223877,0.0038119254168123007,0.005576885771006346,0.9198919891989199,artifacts/c1/c1_experiment/brews/brew_src5_sel2_to0.pt,brew_src5_sel2_to0,0.17043930292129517,0.6689342260360718,8,,,,,,,,,0,0
c1_experiment,C1,solo_src5_sel2_to0,,solo,2,2,src5_sel2_to0,5,dog,5047,5,dog,0,airplane,0,airplane,1,0.9803628325462341,0.01876858063042164,0.01983252726495266,0.92009200920092,artifacts/c1/c1_experiment/brews/brew_src5_sel2_to0.pt,brew_src5_sel2_to0,0.17043930292129517,0.6689342260360718,8,,,,,,,,,0,0
c1_experiment,C1,solo_src5_sel2_to0,,solo,3,3,src5_sel2_to0,5,dog,5047,5,dog,0,airplane,0,airplane,1,0.9841148853302002,0.01550698559731245,0.0160126443952322,0.9242924292429243,artifacts/c1/c1_experiment/brews/brew_src5_sel2_to0.pt,brew_src5_sel2_to0,0.17043930292129517,0.6689342260360718,8,,,,,,,,,0,0
c1_experiment,C1,solo_src5_sel2_to0,,solo,4,4,src5_sel2_to0,5,dog,5047,5,dog,0,airplane,0,airplane,1,0.9894200563430786,0.010522009804844856,0.01063630636781454,0.9192919291929192,artifacts/c1/c1_experiment/brews/brew_src5_sel2_to0.pt,brew_src5_sel2_to0,0.17043930292129517,0.6689342260360718,8,,,,,,,,,0,0
c1_experiment,C1,solo_src5_sel2_to0,,solo,5,5,src5_sel2_to0,5,dog,5047,5,dog,0,airplane,0,airplane,1,0.9789218902587891,0.020412836223840714,0.02130340225994587,0.9213921392139214,artifacts/c1/c1_experiment/brews/brew_src5_sel2_to0.pt,brew_src5_sel2_to0,0.17043930292129517,0.6689342260360718,8,,,,,,,,,0,0
c1_experiment,C1,solo_src5_sel2_to0,,solo,6,6,src5_sel2_to0,5,dog,5047,5,dog,0,airplane,0,airplane,1,0.9584576487541199,0.04056552052497864,0.042429931461811066,0.9288928892889289,artifacts/c1/c1_experiment/brews/brew_src5_sel2_to0.pt,brew_src5_sel2_to0,0.17043930292129517,0.6689342260360718,8,,,,,,,,,0,0
c1_experiment,C1,solo_src5_sel2_to0,,solo,7,7,src5_sel2_to0,5,dog,5047,5,dog,0,airplane,0,airplane,1,0.9977533221244812,0.0020983668509870768,0.002249212935566902,0.9206920692069207,artifacts/c1/c1_experiment/brews/brew_src5_sel2_to0.pt,brew_src5_sel2_to0,0.17043930292129517,0.6689342260360718,8,,,,,,,,,0,0
