eps,budget,source_class_name,target_adv_class_name,target_index,runs,success_rate,mean_adv_confidence,median_adv_confidence,min_adv_confidence,max_adv_confidence,mean_true_confidence,mean_target_loss
16.0,0.01,dog,airplane,9514,3,1.0,0.9504240949948629,0.9876856803894043,0.8741284012794495,0.9894582033157349,0.046394964680075645,0.05250551334271828
16.0,0.005,dog,airplane,9514,3,1.0,0.9684235453605652,0.9816185832023621,0.9294267296791077,0.9942253232002258,0.029056408752997715,0.03251039423048496
16.0,0.0025,dog,airplane,9514,3,1.0,0.9289369384447733,0.98095703125,0.8169172406196594,0.9889365434646606,0.06649873778223991,0.07752305207153161
16.0,0.001,dog,airplane,9514,3,0.0,0.12382096983492374,0.034551024436950684,0.014111606404185295,0.32280027866363525,0.8262144128481547,2.9189325173695884
8.0,0.01,dog,airplane,9514,3,0.6666666666666666,0.6561207721630732,0.9397843480110168,0.07812367379665375,0.9504542946815491,0.3356211930513382,0.8874607111016909
8.0,0.005,dog,airplane,9514,3,0.6666666666666666,0.5574043194452921,0.5674102306365967,0.18208539485931396,0.9227173328399658,0.41767091304063797,0.783461498717467
8.0,0.0025,dog,airplane,9514,3,0.0,0.177597027271986,0.142888605594635,0.03568575158715248,0.35421672463417053,0.7863197922706604,2.105513334274292
8.0,0.001,dog,airplane,9514,3,0.6666666666666666,0.45760366568962735,0.5341176986694336,0.08958081156015396,0.7491124868392944,0.43419991930325824,1.1095397571722667
4.0,0.01,dog,airplane,9514,3,0.3333333333333333,0.265056145687898,0.16612136363983154,0.07702932506799698,0.5520177483558655,0.6091352502504984,1.650926947593689
4.0,0.005,dog,airplane,9514,3,0.3333333333333333,0.2371523551022013,0.05659574642777443,0.003921615891158581,0.6509397029876709,0.7186299165089926,2.9474704364935556
4.0,0.0025,dog,airplane,9514,3,0.0,0.07370845368131995,0.03327162563800812,0.0061705526895821095,0.18168318271636963,0.8551400899887085,3.398836056391398
4.0,0.001,dog,airplane,9514,3,0.0,0.02408342668786645,0.028596434742212296,0.007571625988930464,0.03608221933245659,0.9308181603749593,3.9199252128601074
